label,code,theft,burglary,automobile,roberry
"ΑΝΘΡΩΠΟΚΤΟΝΙΕΣ",1,0,0,0,0
"ΑΠΑΤΕΣ",2,0,0,0,0
"ΑΡΧΑΙΟΚΑΠΗΛΕΙΑ",3,0,0,0,0
"ΒΙΑΣΜΟΙ",4,0,0,0,0
"ΕΚΒΙΑΣΕΙΣ",5,0,0,0,0
"ΕΠΑΙΤΕΙΑ",6,0,0,0,0
"ΖΩΟΚΛΟΠΗ",7,0,0,0,0
"ΚΥΚΛΟΦΟΡΙΑ ΠΑΡΑΧΑΡΑΓΜΕΝΩΝ",8,0,0,0,0
"ΛΑΘΡΕΜΠΟΡΙΟ",9,0,0,0,0
"Ν περί ΝΑΡΚΩΤΙΚΩΝ",10,0,0,0,0
"Ν περί ΟΠΛΩΝ",11,0,0,0,0
"Ν περί ΠΝΕΥΜΑΤΙΚΗΣ ΙΔΙΟΚΤΗΣΙΑΣ",12,0,0,0,0
"ΠΛΑΣΤΟΓΡΑΦΙΑ",13,0,0,0,0
"ΣΕΞΟΥΑΛΙΚΗ ΕΚΜΕΤΑΛΛΕΥΣΗ",14,0,0,0,0
"Κλοπές - Διαρρήξεις από ιχε αυτ/τα",16,1,1,0,0
"Κλοπές - Διαρρήξεις ιερών ναών",17,1,1,0,0
"Κλοπές - Διαρρήξεις καταστημάτων",18,1,1,0,0
"Κλοπές - Διαρρήξεις λοιπές",19,1,1,0,0
"Κλοπές - Διαρρήξεις οικιών",20,1,1,0,0
"Κλοπές - Διαρρήξεις σε συγκοινωνιακά μέσα",21,1,1,0,0
"Κλοπές με αρπαγές τσαντών",22,1,1,0,0
"Κλοπές σε δημόσιο χώρο-μικροκλοπες",23,1,1,0,0
"Κλοπές Τροχοφόρων ΙΧΕ αυτ/των",25,1,0,1,0
"Κλοπές Τροχοφόρων ΙΧΦ-Λεωφορείων",26,1,0,1,0
"Κλοπές Τροχοφόρων Λοιπών οχημάτων",27,1,0,1,0
"Κλοπές Τροχοφόρων Μοτοποδηλάτων",28,1,0,1,0
"Κλοπές Τροχοφόρων Μοτοσυκλετών",29,1,0,1,0
"Ληστείες Δ.Ο.Υ.",31,0,0,0,1
"Ληστείες εντός καταστημάτων",32,0,0,0,1
"Ληστείες εντός οικιών",33,0,0,0,1
"Ληστείες κινητών τηλεφώνων-μικροποσών",34,0,0,0,1
"Ληστείες λοιπές",35,0,0,0,1
"Ληστείες με αρπαγή τσάντας",36,0,0,0,1
"Ληστείες οδηγών ταξί",37,0,0,0,1
"Ληστείες πρατηρίων υγρών καυσίμων",38,0,0,0,1
"Ληστείες σε ΕΛ.ΤΑ.",39,0,0,0,1
"Ληστείες σε Μίνι Μάρκετ-κατ/τα ψιλικών",40,0,0,0,1
"Ληστείες σε περίπτερα",41,0,0,0,1
"Ληστείες σε πρακτορεία ΟΠΑΠ",42,0,0,0,1
"Ληστείες σούπερ μάρκετ",43,0,0,0,1
"Ληστείες ταχυδρομικών διανομέων",44,0,0,0,1
"Ληστείες τραπεζών,ταχ/κών ταμιευτηρίων",45,0,0,0,1
"Ληστείες χρηματαποστολών",46,0,0,0,1
